"Chery Tiggo 7 Pro Max, 2024","1.6 л (150 л.с.), бензин, робот, 4WD",3 070 000 ,Новосибирск,сегодня
"Chery Tiggo 4 Pro, 2025","1.5 л (113 л.с.), бензин, вариатор, передний",2 100 000 ,Новосибирск,сегодня
"Xcite X-Cross 7, 2024","1.5 л (147 л.с.), бензин, вариатор, передний",2 599 000 ,Новосибирск,сегодня
"Лада Гранта Кросс, 2024","1.6 л (106 л.с.), бензин, механика, передний",964 000 ,Новосибирск,сегодня
"Лада Нива Тревел, 2024","1.7 л (80 л.с.), бензин, механика, 4WD",1 507 000 ,Новосибирск,сегодня
"Лада Веста, 2024","1.6 л (106 л.с.), бензин, механика, передний",1 735 000 ,Новосибирск,сегодня
"Лада Нива Легенд, 2024","1.7 л (83 л.с.), бензин, механика, 4WD",1 209 000 ,Новосибирск,сегодня
"Lexus LX570, 2018","5.7 л (367 л.с.), бензин, АКПП, 4WD, 150 000 км",8 750 000 ,Новосибирск,сегодня
"Chevrolet Tahoe, 2012","5.3 л (326 л.с.), бензин, АКПП, 4WD, 205 000 км",1 785 000 ,Новосибирск,сегодня
"Toyota Land Cruiser Prado, 2006","4.0 л (249 л.с.), бензин, АКПП, 4WD, 292 534 км",2 200 000 ,Новосибирск,сегодня
"Lexus RX350, 2008","3.5 л (276 л.с.), бензин, АКПП, 4WD, 284 579 км",1 500 000 ,Новосибирск,сегодня
"Infiniti FX37, 2011","3.7 л (333 л.с.), бензин, АКПП, 4WD, 209 248 км",1 900 000 ,Новосибирск,сегодня
"Toyota Land Cruiser, 2012","4.5 л (235 л.с.), дизель, АКПП, 4WD, 205 841 км",3 800 000 ,Новосибирск,сегодня
"Honda Fit Shuttle, 2012","1.3 л (88 л.с.), гибрид, вариатор, передний, 153 649 км",925 000 ,Новосибирск,сегодня
"Ford Focus, 2011","1.6 л (125 л.с.), бензин, робот, передний, 203 689 км",750 000 ,Новосибирск,сегодня
"Volkswagen Tiguan, 2011","2.0 л (170 л.с.), бензин, АКПП, 4WD, 148 753 км",1 400 000 ,Новосибирск,сегодня
"Renault Duster, 2013","1.6 л (102 л.с.), бензин, механика, 4WD, 194 075 км",800 000 ,Новосибирск,сегодня
